FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
213542|Bright Haines Glade Branch|Stream|DE|10|Kent|001|385307N|0753826W|38.8853913|-75.6404833|385441N|0753536W|38.9115023|-75.5932594|13|43|Burrsville|08/02/1979|
213543|Collins Pond|Reservoir|DE|10|Sussex|005|384246N|0753046W|38.7128876|-75.5126788|||||8|26|Seaford East|08/02/1979|04/28/2014
213544|Cow Bridge Branch|Stream|DE|10|Sussex|005|383621N|0751754W|38.6059467|-75.2982465|383822N|0751858W|38.6395577|-75.3160251|1|3|Millsboro|08/02/1979|
213545|Draper-Bennet Ditch|Canal|DE|10|Sussex|005|385237N|0751756W|38.8770569|-75.298802|||||0|0|Mispillion River|08/02/1979|
213546|Norman G Wilder Wildlife Area|Park|DE|10|Kent|001|390210N|0753737W|39.0362242|-75.6268715|||||18|59|Marydel|08/02/1979|
213547|Savannah Ditch|Stream|DE|10|Sussex|005|384306N|0752229W|38.7184464|-75.374639|384157N|0752252W|38.69928|-75.3810282|13|43|Harbeson|08/02/1979|
213548|Abbotts Pond|Reservoir|DE|10|Sussex|005|385300N|0752836W|38.8832748|-75.4766175|||||9|30|Milford|08/02/1979|06/17/2011
213549|Agricultural Ditch|Stream|DE|10|Sussex|005|382932N|0750744W|38.4923349|-75.1287952|383037N|0751039W|38.5103908|-75.1774083|2|7|Selbyville|08/02/1979|
213550|Ake Ditch|Stream|DE|10|Sussex|005|384311N|0753342W|38.7198361|-75.561592|384321N|0753604W|38.7225|-75.6011111|4|13|Seaford East|08/02/1979|
213551|Alapocas Run|Stream|DE|10|New Castle|003|394607N|0753332W|39.768724|-75.5588125|394650N|0753248W|39.7805556|-75.5466667|15|49|Wilmington North|08/02/1979|
213552|Alapocas Woods Park|Park|DE|10|New Castle|003|394616N|0753345W|39.7712239|-75.5624239|||||53|174|Wilmington North|08/02/1979|
213553|Alexis I DuPont High School|School|DE|10|New Castle|003|394641N|0753605W|39.7781679|-75.6013156|||||84|276|Wilmington North|08/02/1979|
213554|Alfred I duPont Institute|School|DE|10|New Castle|003|394649N|0753316W|39.7803905|-75.554368|||||97|318|Wilmington North|08/02/1979|
213555|Allabands Mill Stream|Stream|DE|10|Kent|001|390655N|0753614W|39.1153903|-75.6038155|390541N|0753630W|39.0947222|-75.6083333|12|39|Wyoming|08/02/1979|
213556|Alley Corners|Locale|DE|10|Kent|001|391607N|0753916W|39.2687225|-75.6543734|||||16|52|Clayton|08/02/1979|
213557|Alms House Ditch|Stream|DE|10|Sussex|005|383824N|0752103W|38.6401135|-75.3507489|384026N|0752343W|38.6740025|-75.3951956|9|30|Harbeson|08/02/1979|
213558|Almshouse Branch|Stream|DE|10|Kent|001|390722N|0753509W|39.1228903|-75.5857593|390508N|0753555W|39.0855556|-75.5986111|9|30|Wyoming|08/02/1979|
213559|Alston Branch|Stream|DE|10|Kent|001|391435N|0753418W|39.2431674|-75.5715925|391315N|0753543W|39.2208333|-75.5952778|1|3|Dover|08/02/1979|
213560|Alvin Point|Cape|DE|10|Sussex|005|383359N|0751202W|38.5665019|-75.2004645|||||0|0|Frankford|08/02/1979|
213561|Andrews Lake|Reservoir|DE|10|Kent|001|390125N|0753047W|39.02355|-75.5131467|||||3|10|Wyoming|08/02/1979|06/17/2011
213562|Angle Rod Creek|Stream|DE|10|New Castle|003|392601N|0753341W|39.4337231|-75.5613143|392515N|0753428W|39.4208333|-75.5744444|0|0|Taylors Bridge|08/02/1979|
213563|Anglesey|Populated Place|DE|10|New Castle|003|394532N|0753658W|39.7590015|-75.6160382|||||52|171|Wilmington North|08/02/1979|
213564|Conrad Middle School|School|DE|10|Sussex|005|384010N|0751115W|38.6695569|-75.1874079|||||5|16|Fairmount|07/01/1982|
213565|Angola Grange|Locale|DE|10|Sussex|005|384032N|0751042W|38.675668|-75.1782408|||||6|20|Fairmount|08/02/1979|
213566|Angola Neck|Cape|DE|10|Sussex|005|383959N|0750847W|38.6665012|-75.146295|||||1|3|Fairmount|08/02/1979|
213567|Anthonys Corners|Locale|DE|10|Kent|001|385519N|0753928W|38.922058|-75.6577061|||||18|59|Burrsville|08/02/1979|
213568|Appoquinimink River|Stream|DE|10|New Castle|003|392652N|0753449W|39.4478898|-75.580204|392252N|0754414W|39.3812224|-75.7371547|-1|-3|Taylors Bridge|08/02/1979|07/09/2014
213569|Arden|Populated Place|DE|10|New Castle|003|394833N|0752912W|39.8092794|-75.4865866|||||77|253|Marcus Hook|08/02/1979|12/12/2014
213570|The Arden School|School|DE|10|New Castle|003|394834N|0752924W|39.8095571|-75.4899202|||||86|282|Marcus Hook|07/01/1982|
213571|Argo Corners|Populated Place|DE|10|Sussex|005|385217N|0752044W|38.8715016|-75.3454709|||||9|30|Milton|08/02/1979|
213572|Army Creek|Stream|DE|10|New Castle|003|393905N|0753514W|39.6515015|-75.5871477|393804N|0753834W|39.6345566|-75.6427065|-1|-3|Wilmington South|08/02/1979|
213573|Arnell Creek|Stream|DE|10|Sussex|005|384124N|0750806W|38.6901122|-75.1349055|384255N|0750819W|38.7152778|-75.1386111|0|0|Fairmount|08/02/1979|
213574|Arrowhead Point|Cape|DE|10|Sussex|005|383856N|0750737W|38.6490012|-75.1268497|||||0|0|Fairmount|08/02/1979|
213575|Artificial Island|Island|DE|10|New Castle|003|392957N|0753223W|39.4992788|-75.5396466|||||3|10|Taylors Bridge|08/02/1979|
213576|Asbury Cemetery|Cemetery|DE|10|New Castle|003|393021N|0753901W|39.5059372|-75.650205|||||15|49|Saint Georges|08/02/1979|09/13/2016
213577|Asbury United Methodist Church|Church|DE|10|Sussex|005|383737N|0752822W|38.6270588|-75.4726991|||||13|43|Georgetown|07/01/1982|
213578|Ash Gut|Stream|DE|10|Kent|001|385942N|0752814W|38.9951128|-75.4704766|390045N|0752952W|39.0126128|-75.4977001|0|0|Milford|08/02/1979|
213579|Asketum Branch|Stream|DE|10|Sussex|005|383724N|0752841W|38.6234477|-75.477977|383601N|0752610W|38.6002778|-75.4361111|9|30|Trap Pond|08/02/1979|
213580|Assawoman Canal|Canal|DE|10|Sussex|005|383208N|0750433W|38.5356677|-75.0757371|||||2|7|Bethany Beach|08/02/1979|
213581|Augustine Beach|Locale|DE|10|New Castle|003|393025N|0753440W|39.5070565|-75.5777038|||||2|7|Delaware City|08/02/1979|
213582|Augustine Creek|Stream|DE|10|New Castle|003|392944N|0753513W|39.4956676|-75.5868708|393006N|0753932W|39.5017786|-75.6588184|-1|-3|Taylors Bridge|08/02/1979|
213583|Aydelotte Point|Cape|DE|10|Sussex|005|383431N|0751022W|38.5753906|-75.1726855|||||0|0|Frankford|08/02/1979|
213584|Back Creek|Stream|MD|24|Cecil|015|393100N|0755309W|39.516781|-75.8857742|393035N|0754310W|39.509834|-75.7193765|0|0|North East|08/02/1979|11/04/2010
213585|Bacon and Kenney Ditch|Canal|DE|10|Sussex|005|383032N|0753535W|38.5090045|-75.5929815|||||12|39|Laurel|08/02/1979|
213586|Bacon Island Creek|Stream|DE|10|Sussex|005|383824N|0750453W|38.6401121|-75.0812923|383832N|0750409W|38.6422222|-75.0691667|0|0|Rehoboth Beach|08/02/1979|
213587|Baker and West Ditch|Canal|DE|10|Sussex|005|383016N|0752935W|38.5045598|-75.492977|||||13|43|Trap Pond|08/02/1979|
213588|Baker Mill Branch|Stream|DE|10|Sussex|005|383832N|0753232W|38.6423367|-75.5421465|383728N|0753121W|38.624559|-75.5224235|2|7|Seaford East|08/02/1979|
213589|Bald Cypress Branch|Stream|DE|10|Sussex|005|382756N|0752050W|38.4656704|-75.3471377|383059N|0752413W|38.5165036|-75.4035289|9|30|Whaleyville|08/02/1979|07/17/2014
213590|Bald Eagle Creek|Stream|DE|10|Sussex|005|384144N|0750620W|38.6956678|-75.1054596|384243N|0750616W|38.7119444|-75.1044444|0|0|Rehoboth Beach|08/02/1979|
213591|Bald Eagle Point|Cape|DE|10|Kent|001|391306N|0753134W|39.2184455|-75.5260352|||||4|13|Dover|07/01/1982|
213592|Balders Pond|Lake|DE|10|Sussex|005|383651N|0750428W|38.6142788|-75.0743476|||||0|0|Bethany Beach|08/02/1979|
213593|Ballast Point|Cape|DE|10|Sussex|005|383351N|0751144W|38.5642797|-75.1954643|||||0|0|Frankford|08/02/1979|
213594|Ballast Point|Cape|DE|10|Sussex|005|383518N|0751357W|38.5884464|-75.2324103|||||0|0|Frankford|08/02/1979|
213595|Banks Cemetery|Cemetery|DE|10|Sussex|005|383333N|0750557W|38.5590361|-75.0990584|||||4|13|Bethany Beach|08/02/1979|09/13/2016
213596|Banks-Bennett Ditch|Canal|DE|10|Sussex|005|383213N|0750610W|38.5370567|-75.1026828|||||3|10|Bethany Beach|08/02/1979|
213597|Banning Cemetery|Cemetery|DE|10|Sussex|005|384702N|0752844W|38.7839087|-75.4788037|||||15|49|Ellendale|08/02/1979|09/13/2016
213598|Banning Park|Park|DE|10|New Castle|003|394307N|0753533W|39.7187239|-75.5924254|||||10|33|Wilmington South|08/02/1979|
213599|Bannister Hall|Locale|DE|10|Kent|001|391721N|0753717W|39.2892783|-75.6213167|||||13|43|Smyrna|08/02/1979|
213600|Old Baptist Church Branch|Stream|DE|10|Kent|001|385807N|0752500W|38.9687239|-75.4165853|385838N|0752607W|38.9772222|-75.4352778|1|3|Milford|08/02/1979|
213601|Bark Pond|Reservoir|DE|10|Sussex|005|383615N|0751843W|38.6042802|-75.3118582|||||4|13|Millsboro|08/02/1979|
213602|Barlow Branch|Stream|DE|10|New Castle|003|392220N|0753947W|39.3723338|-75.662985|392206N|0754336W|39.3683333|-75.7266667|2|7|Clayton|08/02/1979|
213603|Barratts Chapel|Church|DE|10|Kent|001|390128N|0752733W|39.0245571|-75.4590872|||||10|33|Frederica|08/02/1979|
213604|Batson Branch|Stream|DE|10|Sussex|005|382850N|0750808W|38.4806685|-75.1354622|383004N|0750945W|38.501224|-75.1624077|0|0|Selbyville|08/02/1979|06/12/2009
213605|Bay Gut|Gut|DE|10|Kent|001|391401N|0752644W|39.2337237|-75.4454765|||||1|3|Little Creek|08/02/1979|
213606|Bay View Beach|Locale|DE|10|New Castle|003|392910N|0753524W|39.4862231|-75.5899266|||||-1|-3|Taylors Bridge|08/02/1979|
213607|Bayville|Populated Place|DE|10|Sussex|005|382806N|0750520W|38.468446|-75.0887938|||||3|10|Assawoman Bay|08/02/1979|
