FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
247074|Pacific Ocean|Sea|CA|06|Mendocino|045|391837N|1235041W|39.3102778|-123.8447222|||||0|0|Mendocino|01/19/1981|08/19/2014
358293|Pearl and Hermes Atoll|Island|HI|15|Honolulu|003|274942N|1754946W|27.8282032|-175.8295288|||||0|0|Unknown|09/30/2003|11/15/2012
358294|Laysan Island|Island|HI|15|Honolulu|003|254615N|1714415W|25.7708333|-171.7375|||||3|10|Unknown|09/30/2003|
358295|Barking Sands|Beach|HI|15|Kauai|007|220410N|1594635W|22.0693348|-159.7762728|||||8|26|Kekaha|02/06/1981|06/26/2012
358296|Hāʻeleʻele Ridge|Ridge|HI|15|Kauai|007|220517N|1594241W|22.087981|-159.711489|||||685|2247|Kekaha|09/30/2003|
358297|Hā‘ele‘ele Valley|Valley|HI|15|Kauai|007|220539N|1594442W|22.0941057|-159.7449788|220518N|1594045W|22.0884281|-159.6791583|45|148|Kekaha|09/30/2003|10/13/2016
358298|Halemanu|Summit|HI|15|Kauai|007|220648N|1594015W|22.1133742|-159.670701|||||1096|3596|Kekaha|09/30/2003|06/11/2012
358299|Halemanu Stream|Stream|HI|15|Kauai|007|220558N|1593954W|22.0993387|-159.6650362|220720N|1593933W|22.1222798|-159.6592212|493|1617|Waimea Canyon|09/30/2003|08/22/2012
358300|Hauola Ridge|Ridge|HI|15|Kauai|007|220105N|1594211W|22.0181801|-159.7030592|||||415|1362|Kekaha|09/30/2003|06/26/2012
358301|Hikimoe Ridge|Ridge|HI|15|Kauai|007|220556N|1594135W|22.0988815|-159.6929741|||||878|2881|Kekaha|09/30/2003|08/01/2012
358302|Hikimoe Valley|Valley|HI|15|Kauai|007|220612N|1594436W|22.1032081|-159.7434405|220603N|1594133W|22.100896|-159.6924218|12|39|Kekaha|09/30/2003|10/13/2016
358303|Hō‘ea Valley|Valley|HI|15|Kauai|007|215930N|1594335W|21.9915583|-159.726524|220131N|1594151W|22.0252859|-159.6975068|13|43|Kekaha OE S|09/30/2003|10/13/2016
358304|Huluhulunui Ridge|Ridge|HI|15|Kauai|007|215911N|1594109W|21.9863085|-159.6857214|||||250|820|Kekaha OE S|09/30/2003|06/26/2012
358305|Kauaʻi|Island|HI|15|Kauai|007|220258N|1593152W|22.04942|-159.530987|||||615|2018|Waialeale|09/30/2003|
358306|Ka‘anamahuna Valley|Valley|HI|15|Kauai|007|220341N|1594102W|22.0613271|-159.6837891|220422N|1594013W|22.0728435|-159.6703819|756|2480|Kekaha|09/30/2003|10/13/2016
358307|Ka‘awaloa Valley|Valley|HI|15|Kauai|007|220214N|1594511W|22.0372055|-159.7529705|220244N|1594204W|22.045563|-159.7010478|69|226|Kekaha|09/30/2003|10/13/2016
358308|Kā‘aweiki Ridge|Ridge|HI|15|Kauai|007|220615N|1594058W|22.1041266|-159.682703|||||990|3248|Kekaha|09/30/2003|12/03/2016
358309|Kā‘aweiki Valley|Valley|HI|15|Kauai|007|220634N|1594425W|22.1093937|-159.7402505|220627N|1594119W|22.1074273|-159.688716|21|69|Kekaha|09/30/2003|10/13/2016
358310|Kahelu Ridge|Ridge|HI|15|Kauai|007|220252N|1594337W|22.047817|-159.7268772|||||463|1519|Unknown|09/30/2003|06/26/2012
358311|Kahelunui Valley|Valley|HI|15|Kauai|007|220239N|1594518W|22.0441098|-159.7550041|220430N|1594059W|22.0749764|-159.6829842|67|220|Kekaha|09/30/2003|10/13/2016
358312|Kahoaloha Valley|Valley|HI|15|Kauai|007|220501N|1594458W|22.0836461|-159.7493172|220456N|1594017W|22.0821617|-159.6713167|58|190|Kekaha|09/30/2003|10/13/2016
358313|Kahoana Valley|Valley|HI|15|Kauai|007|215945N|1594315W|21.9957477|-159.7207909|220115N|1594142W|22.0207636|-159.6950765|46|151|Kekaha|09/30/2003|10/13/2016
358314|Kalohi Channel|Channel|HI|15|Maui|009|210104N|1570056W|21.0178549|-157.0155716|||||0|0|Kaunakakai OE S|09/30/2003|08/16/2012
