FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1008807|Atlantic Ocean|Sea|NC|37|Dare|055|351332N|0753344W|35.2254551|-75.5620973|||||0|0|Cape Hatteras|06/17/1980|06/13/2008
1609455|Cerro Farallón|Summit|PR|72|Vieques|147|180852N|0651936W|18.1477407|-65.3265466|||||49|161|Isla De Vieques East|02/13/1981|
1609456|Canal Aguadilla|Canal|PR|72|Aguadilla|005|182825N|0670706W|18.4735546|-67.1182364|||||82|269|Moca|02/13/1981|
1609457|Canal de Aguuadilla|Canal|PR|72|Aguadilla|005|182837N|0670830W|18.4768875|-67.1415698|||||73|239|Aguadilla|02/13/1981|
1609458|Quebrada Del Ausubo|Valley|PR|72|San Juan|127|182251N|0660310W|18.380808|-66.0527427|182209N|0660243W|18.3692677|-66.0452325|20|66|San Juan|02/13/1981|02/14/2017
1609459|Cerro Respaldo|Summit|PR|72|Salinas|123|180034N|0661949W|18.0094091|-66.3301686|||||122|400|Coamo|02/13/1981|
1609460|Hipódromo El Comandante|Unknown|PR|72|San Juan|127|182344N|0655959W|18.3955035|-65.99961|||||17|56|San Juan|02/13/1981|08/28/2012
1609461|Hippodromo El Commandante|Unknown|PR|72|Carolina|031|182342N|0655950W|18.3949479|-65.9971099|||||18|59|Carolina|02/13/1981|
1609462|Quebrada Angela|Valley|PR|72|Loíza|087|182320N|0655145W|18.3889756|-65.8624018|182111N|0655218W|18.3531016|-65.8716249|4|13|Rio Grande|02/13/1981|03/08/2017
1609463|Quebrada Guaracanal|Valley|PR|72|San Juan|127|182334N|0660323W|18.3926715|-66.0563564|182206N|0660231W|18.3682013|-66.0418331|12|39|San Juan|02/13/1981|03/10/2017
