FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
205110|Appalachian National Scenic Trail|Trail|PA|42|Perry|099|401920N|0770439W|40.3221113|-77.0775473|||||200|656|Wertzville|09/12/1979|05/16/2017
206425|Connecticut River|Stream|CT|09|New London|011|411620N|0721959W|41.2723203|-72.3331382|451352N|0711145W|45.2311571|-71.1959068|0|0|Old Lyme|09/12/1979|10/24/2014
607329|Broad Brook|Stream|MA|25|Berkshire|003|424418N|0731300W|42.7384132|-73.216774|424757N|0730901W|42.7992467|-73.1503835|174|571|Williamstown|02/24/1974|
607403|East Mountain|Summit|MA|25|Berkshire|003|424330N|0730928W|42.7250808|-73.1578831|||||593|1946|Williamstown|02/24/1974|
607547|Cowan Brook|Stream|MA|25|Berkshire|003|424432N|0730659W|42.7423032|-73.1164932|424649N|0730717W|42.7803583|-73.1214937|477|1565|North Adams|02/24/1974|
607611|North Branch Hoosic River|Stream|MA|25|Berkshire|003|424209N|0730706W|42.70256|-73.11835|424846N|0730045W|42.8128591|-73.0126018|206|676|North Adams|02/24/1974|05/23/2011
607885|Dunbar Brook|Stream|MA|25|Franklin|011|424226N|0725703W|42.7073052|-72.9509326|424520N|0730153W|42.7556374|-73.0314908|276|906|Rowe|02/24/1974|05/23/2011
607954|Sherman Reservoir|Reservoir|VT|50|Windham|025|424423N|0725535W|42.7396363|-72.9262837|||||336|1102|Rowe|02/24/1974|10/13/2011
607991|Wheeler Brook|Stream|MA|25|Franklin|011|424344N|0725535W|42.7289717|-72.9264876|424445N|0725445W|42.7458333|-72.9125|346|1135|Rowe|02/24/1974|
607998|Windsor Pond|Lake|VT|50|Bennington|003|424442N|0725852W|42.7450686|-72.9812255|||||664|2178|Rowe|02/24/1974|10/13/2011
608140|Borden Brook|Stream|MA|25|Franklin|011|424337N|0724033W|42.7270277|-72.6759255|424503N|0724208W|42.7509162|-72.7023152|160|525|Colrain|02/24/1974|
608223|Phillips Hill|Summit|MA|25|Franklin|011|424410N|0724629W|42.7360087|-72.7748113|||||545|1788|Heath|02/24/1974|12/19/2014
608232|Sanders Brook|Stream|MA|25|Franklin|011|424214N|0724658W|42.70385|-72.7829|424431N|0724847W|42.7419444|-72.8130556|266|873|Heath|02/24/1974|05/23/2011
608806|Shattuck Brook|Stream|MA|25|Franklin|011|424305N|0723411W|42.718139|-72.5698122|424305N|0723411W|42.718139|-72.5698122|132|433|Bernardston|02/24/1974|
608818|West Brook|Stream|MA|25|Franklin|011|424337N|0723413W|42.7270277|-72.5703677|424505N|0723528W|42.7514717|-72.5912018|137|449|Bernardston|02/24/1974|
608860|Fall River|Stream|MA|25|Franklin|011|423651N|0723309W|42.61419|-72.55253|424604N|0723336W|42.76773|-72.55989|38|125|Greenfield|02/24/1974|05/23/2011
609320|Newton Brook|Stream|MA|25|Franklin|011|424335N|0722730W|42.7264724|-72.4584212|424420N|0722908W|42.7388889|-72.4855556|59|194|Northfield|02/24/1974|
617999|Taconic Range|Range|MA|25|Berkshire|003|423500N|0731958W|42.5834149|-73.3328856|||||680|2231|Hancock|02/24/1974|10/10/2014
619261|Hoosac Range|Cliff|MA|25|Berkshire|003|424200N|0730228W|42.7000825|-73.0412129|||||605|1985|North Adams|02/24/1974|
619265|East Branch North River|Stream|MA|25|Franklin|011|423947N|0724257W|42.663|-72.71585|424846N|0725036W|42.81269|-72.84337|156|512|Colrain|02/24/1974|05/23/2011
619266|West Branch Brook|Stream|MA|25|Franklin|011|424236N|0724852W|42.7100833|-72.8145398|424417N|0725119W|42.7380556|-72.8552778|353|1158|Heath|02/24/1974|
619359|Green River|Stream|MA|25|Franklin|011|423420N|0723610W|42.57211|-72.60266|425108N|0724720W|42.85225|-72.78895|34|112|Greenfield|02/24/1974|05/23/2011
866137|Cheshire Toll Bridge|Bridge|NH|33|Sullivan|019|431538N|0722537W|43.2606309|-72.4270331|||||85|279|Springfield|08/27/1980|
867759|Jarvis Island|Island|NH|33|Sullivan|019|432132N|0722406W|43.3589625|-72.4017562|||||93|305|Springfield|08/27/1980|
868537|Moore Reservoir|Reservoir|NH|33|Grafton|009|442330N|0714748W|44.3915916|-71.7965402|||||244|801|Miles Pond|08/27/1980|11/02/2011
870390|The Oxbow|Bend|VT|50|Orange|017|440542N|0720155W|44.0948992|-72.0319199|||||122|400|Newbury|08/27/1980|06/18/2015
870636|Walcott Island|Island|NH|33|Sullivan|019|432049N|0722352W|43.3470182|-72.3978671|||||87|285|Springfield|08/27/1980|
943164|Batten Kill|Stream|NY|36|Washington|115|430634N|0733430W|43.1095198|-73.5751157|431453N|0730016W|43.248131|-73.004548|26|85|Schuylerville|01/23/1980|12/11/2010
943340|Beattie Hollow|Valley|NY|36|Washington|115|431154N|0731550W|43.1982561|-73.263956|431203N|0731501W|43.2008122|-73.2502518|245|804|Salem|01/23/1980|11/04/2016
944135|Black Hole Hollow|Valley|NY|36|Washington|115|430318N|0731740W|43.0550686|-73.2945531|430256N|0731525W|43.0487937|-73.2569781|258|846|Shushan|01/23/1980|12/07/2016
944251|Blind Buck Hollow|Valley|NY|36|Washington|115|431021N|0731814W|43.172415|-73.3039846|431122N|0731517W|43.1895586|-73.2547049|174|571|Salem|01/23/1980|12/06/2016
944252|Blind Buck Stream|Stream|NY|36|Washington|115|430929N|0732041W|43.1581317|-73.3448327|431123N|0731511W|43.1897222|-73.2530556|138|453|Salem|01/23/1980|
944938|Browns Brook|Stream|NY|36|Rensselaer|083|425230N|0731813W|42.8750783|-73.3037213|425127N|0731505W|42.8575|-73.2513889|168|551|North Pownal|01/23/1980|
945514|Camden Creek|Stream|NY|36|Washington|115|430603N|0731757W|43.1009102|-73.2992765|430731N|0731720W|43.1253545|-73.2889984|150|492|Shushan|01/23/1980|
946367|Lake Champlain|Lake|VT|50|Chittenden|007|443418N|0731850W|44.5716155|-73.3140039|||||29|95|Colchester Point|01/23/1980|07/28/2014
946664|Chunks Brook|Stream|NY|36|Washington|115|430625N|0731600W|43.1070214|-73.2667758|430850N|0731345W|43.1471249|-73.2292659|156|512|Shushan|01/23/1980|05/01/2015
948412|Diamond Island|Island|VT|50|Addison|001|441412N|0732002W|44.2367192|-73.3340148|||||29|95|Vergennes West|01/23/1980|06/05/2014
